epoch,train_loss,lr
1,0.036034,5.9142857143e-05
2,0.033704,8.9142857143e-05
3,0.033717,1.1914285714e-04
4,0.033062,1.4914285714e-04
5,0.033655,1.7914285714e-04
6,0.032407,1.4982759047e-04
7,0.032455,1.4929077764e-04
8,0.031745,1.4839202761e-04
9,0.031977,1.4713571900e-04
10,0.033682,1.4552797242e-04
11,0.032209,1.4357662064e-04
12,0.032706,1.4129117046e-04
13,0.032304,1.3868275637e-04
14,0.031785,1.3576408628e-04
15,0.031985,1.3254937968e-04
16,0.031982,1.2905429828e-04
17,0.031229,1.2529586977e-04
18,0.030914,1.2129240485e-04
19,0.029647,1.1706340798e-04
20,0.032764,1.1262948241e-04
21,0.030867,1.0801222979e-04
22,0.031967,1.0323414490e-04
23,0.030873,9.8318506100e-05
24,0.030313,9.3289261880e-05
25,0.031407,8.8170914214e-05
26,0.030779,8.2988399178e-05
27,0.031005,7.7766965465e-05
28,0.028376,7.2532051373e-05
29,0.029921,6.7309160880e-05
30,0.030560,6.2123739381e-05
31,0.029927,5.7001049730e-05
32,0.029193,5.1966049155e-05
33,0.030139,4.7043267674e-05
34,0.029725,4.2256688582e-05
35,0.030661,3.7629631612e-05
36,0.028925,3.3184639320e-05
37,0.028297,2.8943367262e-05
38,0.029437,2.4926478490e-05
39,0.030754,2.1153542881e-05
40,0.028582,1.7642941798e-05
41,0.030271,1.4411778537e-05
42,0.028493,1.1475795001e-05
43,0.031152,8.8492950066e-06
44,0.030351,6.5450745972e-06
45,0.028746,4.5743597034e-06
46,0.027731,2.9467514498e-06
47,0.028543,1.6701793805e-06
48,0.029628,7.5086282611e-07
49,0.030052,1.9328060454e-07
50,0.030056,1.4920031941e-10
